,index,label
11978,B25015_012E,Estimate!!Total:!!Owner occupied:!!Householder 65 years and over:!!1.00 or less occupants per room
11982,B25015_013E,Estimate!!Total:!!Owner occupied:!!Householder 65 years and over:!!1.01 to 1.50 occupants per room
11985,B25015_014E,Estimate!!Total:!!Owner occupied:!!Householder 65 years and over:!!1.51 or more occupants per room
11965,B25015_015E,Estimate!!Total:!!Renter occupied:
11967,B25015_016E,Estimate!!Total:!!Renter occupied:!!Householder 15 to 34 years:
11970,B25015_017E,Estimate!!Total:!!Renter occupied:!!Householder 15 to 34 years:!!1.00 or less occupants per room
11972,B25015_018E,Estimate!!Total:!!Renter occupied:!!Householder 15 to 34 years:!!1.01 to 1.50 occupants per room
11974,B25015_019E,Estimate!!Total:!!Renter occupied:!!Householder 15 to 34 years:!!1.51 or more occupants per room
11993,B25015_020E,Estimate!!Total:!!Renter occupied:!!Householder 35 to 64 years:
12000,B25015_021E,Estimate!!Total:!!Renter occupied:!!Householder 35 to 64 years:!!1.00 or less occupants per room
12006,B25015_022E,Estimate!!Total:!!Renter occupied:!!Householder 35 to 64 years:!!1.01 to 1.50 occupants per room
12305,B25015_023E,Estimate!!Total:!!Renter occupied:!!Householder 35 to 64 years:!!1.51 or more occupants per room
12310,B25015_024E,Estimate!!Total:!!Renter occupied:!!Householder 65 years and over:
12314,B25015_025E,Estimate!!Total:!!Renter occupied:!!Householder 65 years and over:!!1.00 or less occupants per room
12319,B25015_026E,Estimate!!Total:!!Renter occupied:!!Householder 65 years and over:!!1.01 to 1.50 occupants per room
12284,B25015_027E,Estimate!!Total:!!Renter occupied:!!Householder 65 years and over:!!1.51 or more occupants per room
7343,B25016_001E,Estimate!!Total:
7283,B25016_002E,Estimate!!Total:!!Owner occupied:
7279,B25016_003E,Estimate!!Total:!!Owner occupied:!!Complete plumbing facilities:
7289,B25016_004E,Estimate!!Total:!!Owner occupied:!!Complete plumbing facilities:!!1.00 or less occupants per room
7286,B25016_005E,Estimate!!Total:!!Owner occupied:!!Complete plumbing facilities:!!1.01 to 1.50 occupants per room
7284,B25016_006E,Estimate!!Total:!!Owner occupied:!!Complete plumbing facilities:!!1.51 or more occupants per room
7294,B25016_007E,Estimate!!Total:!!Owner occupied:!!Lacking complete plumbing facilities:
7291,B25016_008E,Estimate!!Total:!!Owner occupied:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room
7298,B25016_009E,Estimate!!Total:!!Owner occupied:!!Lacking complete plumbing facilities:!!1.01 to 1.50 occupants per room
7212,B25016_010E,Estimate!!Total:!!Owner occupied:!!Lacking complete plumbing facilities:!!1.51 or more occupants per room
7205,B25016_011E,Estimate!!Total:!!Renter occupied:
7225,B25016_012E,Estimate!!Total:!!Renter occupied:!!Complete plumbing facilities:
7218,B25016_013E,Estimate!!Total:!!Renter occupied:!!Complete plumbing facilities:!!1.00 or less occupants per room
7168,B25016_014E,Estimate!!Total:!!Renter occupied:!!Complete plumbing facilities:!!1.01 to 1.50 occupants per room
7167,B25016_015E,Estimate!!Total:!!Renter occupied:!!Complete plumbing facilities:!!1.51 or more occupants per room
7166,B25016_016E,Estimate!!Total:!!Renter occupied:!!Lacking complete plumbing facilities:
7170,B25016_017E,Estimate!!Total:!!Renter occupied:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room
