,GEOID,park_no,common_nam,year_estab
4010,470370135002,117,Park Ave School Playground,2002
406,470370136001,,,
899,470370136002,13,Boyd -Taylor,1947
899,470370136002,232,Cumberland River Greenway - Boyd Taylor,2009
1453,470370136003,19,Hadley,1912
2491,470370136004,,,
3524,470370137011,118,Jones Paideia School Playground,2002
1048,470370137012,166,Hull Jackson School Playground,2002
3432,470370137013,20,Rhodes,1954
1460,470370137021,209,Cumberland River Greenway - Metro Center,2004
1460,470370137021,216,Cumberland River Greenway - Metro Center,2004
1460,470370137021,215,Cumberland River Greenway - Metro Center,2004
1460,470370137021,214,Cumberland River Greenway - Metro Center,2004
1460,470370137021,211,Cumberland River Greenway - Metro Center,2004
1460,470370137021,212,Cumberland River Greenway - Metro Center,2004
1460,470370137021,213,Cumberland River Greenway - Metro Center,2004
4504,470370137022,130,Buena Vista,1934
4504,470370137022,131,Potters Field,1934
4504,470370137022,20,Rhodes,1954
4504,470370137022,226,Cumberland River Greenway - Metro Center,2004
4504,470370137022,227,Cumberland River Greenway - Metro Center,2004
4504,470370137022,225,Cumberland River Greenway - Metro Center,2004
4504,470370137022,221,Cumberland River Greenway - Metro Center,2004
4504,470370137022,220,Cumberland River Greenway - Metro Center,2004
4504,470370137022,213,Cumberland River Greenway - Metro Center,2004
4504,470370137022,219,Cumberland River Greenway - Metro Center,2004
4504,470370137022,218,Cumberland River Greenway - Metro Center,2004
4504,470370137022,172,Cumberland River Greenway - Metro Center,2004
4504,470370137022,222,Cumberland River Greenway - Metro Center,2004
4504,470370137022,217,Cumberland River Greenway - Metro Center,2004
554,470370138001,,,
1197,470370138002,29,Fisk,1983
765,470370139001,33,Elizabeth,1909
691,470370142001,,,
101,470370142002,,,
44,470370143001,,,
4429,470370143002,28,McKissack,1969
3124,470370144001,35,Watkins,1901
3124,470370144001,37,Centennial,1903
3124,470370144001,36,Edmondson,1979
562,470370148001,,,
2493,470370151001,,,
797,470370151002,,,
1162,470370151003,157,Mcgavock School Playground,2002
3139,470370152001,,,
2623,470370152002,114,Stanford School Playground,2002
3935,470370153001,91,Two Rivers,1966
3935,470370153001,105,Pennington Bend School Playground,2002
3132,470370153002,88,Lock Two,1956
2704,470370153003,88,Lock Two,1956
2492,470370153004,95,Heartland,2002
2492,470370153004,187,Stones River Greeenway - Two Rivers to Lytle,2003
2492,470370153004,181,Stones River Greeenway - Two Rivers to Lytle,2003
2492,470370153004,186,Stones River Greeenway - Two Rivers to Lytle,2003
2492,470370153004,188,Stones River Greeenway - Two Rivers to Lytle,2003
