,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,NAMELSAD,LSAD,ALAND,AWATER,geometry
178,47,037,015614,3,1500000US470370156143,470370156143,3,Block Group 3,BG,734043,0,"POLYGON ((-86.667563 36.080267, -86.665108 36.084998, -86.663206 36.087254, -86.66099199999999 36.086407, -86.65415900000001 36.086302, -86.65112000000001 36.086875, -86.649569 36.084846, -86.650143 36.083814, -86.65195300000001 36.082171, -86.65518 36.083967, -86.65951800000001 36.084045, -86.664145 36.080643, -86.663921 36.079013, -86.659385 36.078462, -86.65788000000001 36.077449, -86.659643 36.076103, -86.66049099999999 36.076319, -86.66336800000001 36.07821, -86.66678 36.078909, -86.67001999999999 36.078603, -86.667563 36.080267))"
201,47,037,017901,1,1500000US470370179011,470370179011,1,Block Group 1,BG,478291,0,"POLYGON ((-86.818732 36.100948, -86.814601 36.1048, -86.808767 36.104342, -86.8095 36.098913, -86.80970000000001 36.098107, -86.81540699999999 36.098677, -86.818732 36.100948))"
211,47,037,013300,3,1500000US470370133003,470370133003,3,Block Group 3,BG,752573,0,"POLYGON ((-86.85812900000001 36.160671, -86.850398 36.160949, -86.850573 36.163146, -86.84845900000001 36.162106, -86.846553 36.162572, -86.84646100000001 36.161057, -86.84622299999999 36.15659, -86.842445 36.156731, -86.842293 36.15379, -86.84996700000001 36.153508, -86.852277 36.153263, -86.853448 36.157472, -86.854446 36.158268, -86.85812900000001 36.160671))"
223,47,037,015614,1,1500000US470370156141,470370156141,1,Block Group 1,BG,496900,0,"POLYGON ((-86.664145 36.080643, -86.65951800000001 36.084045, -86.65518 36.083967, -86.65195300000001 36.082171, -86.657016 36.078137, -86.65788000000001 36.077449, -86.659385 36.078462, -86.663921 36.079013, -86.664145 36.080643))"
224,47,037,012801,1,1500000US470370128011,470370128011,1,Block Group 1,BG,2640951,0,"POLYGON ((-86.864783 36.215531, -86.86110100000001 36.216496, -86.857373 36.216375, -86.837068 36.218504, -86.84039 36.205344, -86.844067 36.205989, -86.846221 36.205651, -86.850596 36.206675, -86.85238 36.205856, -86.852298 36.204549, -86.858062 36.207584, -86.862577 36.208734, -86.864783 36.215531))"
227,47,037,015401,2,1500000US470370154012,470370154012,2,Block Group 2,BG,5706426,0,"POLYGON ((-86.62547600000001 36.226016, -86.62485 36.229706, -86.62464300000001 36.231775, -86.624736 36.232289, -86.623768 36.232226, -86.60498200000001 36.230341, -86.60298 36.22877, -86.603218 36.226321, -86.597807 36.225643, -86.597618 36.226961, -86.593515 36.225698, -86.594306 36.219761, -86.597596 36.219734, -86.59767100000001 36.215126, -86.604204 36.214805, -86.607097 36.212582, -86.611569 36.207796, -86.62026899999999 36.198441, -86.62092800000001 36.200552, -86.622955 36.207583, -86.622736 36.212472, -86.62146300000001 36.219686, -86.621998 36.220969, -86.623267 36.222674, -86.624594 36.224384, -86.62553 36.225586, -86.62547600000001 36.226016))"
238,47,037,018101,3,1500000US470370181013,470370181013,3,Block Group 3,BG,1019571,0,"POLYGON ((-86.884998 36.141689, -86.877391 36.147331, -86.8755 36.148446, -86.873414 36.149244, -86.86512 36.15062, -86.85768400000001 36.152272, -86.854072 36.152971, -86.854474 36.150996, -86.85795299999999 36.150156, -86.85991199999999 36.149683, -86.867424 36.148172, -86.869613 36.147031, -86.87487400000001 36.1427, -86.87923000000001 36.140147, -86.880563 36.139069, -86.884113 36.141457, -86.884998 36.141689))"
254,47,037,018204,1,1500000US470370182041,470370182041,1,Block Group 1,BG,1550129,0,"POLYGON ((-86.92089300000001 36.075963, -86.919973 36.077666, -86.919359 36.077393, -86.91538799999999 36.078364, -86.915296 36.080337, -86.913138 36.081878, -86.90949999999999 36.088229, -86.90681600000001 36.090454, -86.902254 36.087537, -86.902171 36.085675, -86.89845800000001 36.086403, -86.89488 36.08553, -86.894233 36.085264, -86.894526 36.084788, -86.894723 36.084573, -86.89850800000001 36.08142, -86.90176599999999 36.080227, -86.909301 36.078304, -86.920945 36.074458, -86.92089300000001 36.075963))"
261,47,037,019008,2,1500000US470370190082,470370190082,2,Block Group 2,BG,399820,0,"POLYGON ((-86.71841499999999 36.082736, -86.717085 36.088565, -86.71621399999999 36.088023, -86.71493 36.087677, -86.71365900000001 36.085672, -86.708268 36.083394, -86.710539 36.082657, -86.71513899999999 36.081204, -86.717748 36.08043, -86.71793 36.080406, -86.71841499999999 36.082736))"
289,47,037,015632,2,1500000US470370156322,470370156322,2,Block Group 2,BG,720793,0,"POLYGON ((-86.601383 36.170233, -86.599191 36.170371, -86.585354 36.169658, -86.585562 36.168162, -86.584731 36.164154, -86.588155 36.165386, -86.588635 36.166193, -86.594098 36.164596, -86.59795 36.165075, -86.60105799999999 36.169516, -86.601383 36.170233))"
